ITEM_NAME,ERP_CODE,CLOSING,NAME,UNIT,ICAT,CPARTNO,CUST_REF,RATE,CAL_VALUE,PREFX,IWEIGHT,LABRCHG,IRATE1,IH_VALUE,TOT_VAL,GRP,STAGE,CLOSING_WT,FG_REF,,
WIRE BLACK 16 SQMM FRPVC CABEL,10070008,353.155,61. ASSEMBLY  N4,MTR,-,-,0,64.3117,22712,,0,0,0,0,22712,1007,61,0,,,
WIRE BLACK 4 SQMM FRPVC,10070133,1,61. ASSEMBLY  N4,MTR,DOM,-,-,22.07,22,,0,0,0,0,22,1007,61,0,,,
WIRE RED 4 SQMM  FRPVC,10070134,1,61. ASSEMBLY  N4,MTR,DOM,-,-,19.77,20,,0,0,0,0,20,1007,61,0,,,
WIRE YELLOW/GREEN 1.5 SQMM FRPVC CABLE,10070087,304.165,61. ASSEMBLY  N4,MTR,DOM,-,-,7.63,2321,,0,0,0,0,2321,1007,61,0,,,
POWDER EPP S/G FINE TEXTURE LINEN WHITE RAL 9003,22080007,4.69,61. ASSEMBLY  N4,KGS,-,-,-,164,769,,0,0,0,0,769,2208,61,0,,,
ACRYLIC SHEET 6 WAY VTPN 222.5X264.6X2MM-CB50550,30010018,1,61. ASSEMBLY  N4,NOS,DOM,-,-,90,90,,0,0,0,0,90,3001,61,0,,,
ACRYLIC SHEET SPN 16 WAY 107X313X2MM-CB50541,30620006,2,61. ASSEMBLY  N4,NOS,DOM,-,-,60,120,,0,0,0,0,120,3062,61,0,,,
METAL CLAD PLUG ASSEMBLY 2PIN 20A _CB00079,31010036,942,61. ASSEMBLY  N4,NOS,DOM,-,-,48.25,45452,,0,0,0,0,45452,3101,61,0,,,
METAL CLAD PLUG ASSEMBLY 3PIN 20A _CB00080,31010039,1,61. ASSEMBLY  N4,NOS,DOM,-,-,60.85,61,,0,0,0,0,61,3101,61,0,,,
METAL CLAD PLUG ASSEMBLY 3PIN 32A _CB00081,31010040,560,61. ASSEMBLY  N4,NOS,DOM,-,-,117.4,65744,,0,0,0,0,65744,3101,61,0,,,
PLUG METAL 10 AMP DP LEGRAND,31010001,14,61. ASSEMBLY  N4,NOS,-,-,0,33.57,470,,0,0,0,0,470,3101,61,0,,,
PLUG METAL 20 AMP DP LEGRAND,31010003,280,61. ASSEMBLY  N4,NOS,-,-,0,47.47,13292,,0,0,0,0,13292,3101,61,0,,,
PLUG METAL 20 AMP TP LEGRAND,31010004,132,61. ASSEMBLY  N4,NOS,-,-,0,56.35,7438,,0,0,0,0,7438,3101,61,0,,,
PLUG METAL 30 AMP TP LEGRAND,31010007,-4,61. ASSEMBLY  N4,NOS,-,-,0,114.74,-459,,0,0,0,0,-459,3101,61,0,,,
METAL CLAD SOCKET ASSEMBLY 2PIN 20A _CB00084,31020019,942,61. ASSEMBLY  N4,NOS,DOM,-,-,54.12,50981,,0,0,0,0,50981,3102,61,0,,,
METAL CLAD SOCKET ASSEMBLY 3PIN 20A _CB00085,31020021,1,61. ASSEMBLY  N4,NOS,DOM,-,-,77.99,78,,0,0,0,0,78,3102,61,0,,,
METAL CLAD SOCKET ASSEMBLY 3PIN 32A _CB00086,31020024,561,61. ASSEMBLY  N4,NOS,DOM,-,-,118.94,66725,,0,0,0,0,66725,3102,61,0,,,
SOCKET  METAL 10 AMP DP LEGRAND,31020001,11,61. ASSEMBLY  N4,NOS,-,-,0,38.37,422,,0,0,0,0,422,3102,61,0,,,
SOCKET  METAL 20 AMP DP LEGRAND,31020002,280,61. ASSEMBLY  N4,NOS,-,-,0,49.69,13913,,0,0,0,0,13913,3102,61,0,,,
SOCKET  METAL 20 AMP TP LEGRAND,31020003,116,61. ASSEMBLY  N4,NOS,-,-,0,69.51,8063,,0,0,0,0,8063,3102,61,0,,,
SOCKET  METAL 30 AMP TP LEGRAND,31020004,-4,61. ASSEMBLY  N4,NOS,-,-,0,107.59,-430,,0,0,0,0,-430,3102,61,0,,,
SOCKET 63A 3P+N+E (100000143) P17 TEMPRA 415V(PART NO. 555589) (DB NO.607880),31020027,-3,61. ASSEMBLY  N4,NOS,DOM,555589,-,878.93,-2637,,0,0,0,0,-2637,3102,61,0,,,
PLUG 16A (100000932)P17 TEMPRA 250V 2P+E (PART NO. 555124)(DB NO.607870) NEW 555124,31030017,17,61. ASSEMBLY  N4,NOS,DOM,555124,-,112.25,1908,,0,0,0,0,1908,3103,61,0,,,
PLUG 32A 2P+E P17 TEMPRA 250V (PART NO. 555234) (DB 607873) NEW,31030020,1,61. ASSEMBLY  N4,NOS,DOM,555234,-,156.41,156,,0,0,0,0,156,3103,61,0,,,
PLUG 32A 3P+E (100000933) P17 TEMPRA 415V (PART NO. 555238) (DB NO.607871)  NEW,31030018,56,61. ASSEMBLY  N4,NOS,DOM,555238,-,178.3,9985,,0,0,0,0,9985,3103,61,0,,,
PLUG 32A 3P+N+E (100000931)P17 TEMPRA 415V (PART NO. 555239) (DB NO.607872)  NEW,31030019,52,61. ASSEMBLY  N4,NOS,DOM,555239,-,220.65,11474,,0,0,0,0,11474,3103,61,0,,,
PLUG 63A 3P+N+E (100000143) P17 TEMPRA 415V(PART NO. 555529) (DB NO.607880),31030027,-3,61. ASSEMBLY  N4,NOS,DOM,555529,-,860.94,-2583,,0,0,0,0,-2583,3103,61,0,,,
PLUG PLASTIC 32A 3PIN - CB00093,31030007,-4,61. ASSEMBLY  N4,NOS,-,-,0,157.3,-629,,0,0,0,0,-629,3103,61,0,,,
SOCKET 16A (100000935)P17 TEMPRA 250V 2P+E (PART NO. 555184) (DB NO.607870) NEW,31040005,17,61. ASSEMBLY  N4,NOS,DOM,555184,-,118.15,2009,,0,0,0,0,2009,3104,61,0,,,
SOCKET 32A 2P+E P17 TEMPRA 250V (PART NO.555284) (DB 607873)   NEW,31040008,-1,61. ASSEMBLY  N4,NOS,DOM,555284,-,153.37,-153,,0,0,0,0,-153,3104,61,0,,,
SOCKET 32A 3P+E (100000138) P17 TEMPRA 415V (PART NO. 555288) (DB NO.607871) NEW,31040006,66,61. ASSEMBLY  N4,NOS,DOM,555288,-,169.41,11181,,0,0,0,0,11181,3104,61,0,,,
SOCKET 32A 3P+N+E (100000140) P17 TEMPRA 415V  (DB NO.607872),31040007,51,61. ASSEMBLY  N4,NOS,DOM,(PART NO. 555289),-,201.56,10280,,0,0,0,0,10280,3104,61,0,,,
SOCKET PLASTIC 32A 3PIN - CB00097,31040002,-4,61. ASSEMBLY  N4,NOS,-,-,0,203.33,-813,,0,0,0,0,-813,3104,61,0,,,
SOCKET PLASTIC 32A 5PIN - CB00098,31040003,-1,61. ASSEMBLY  N4,NOS,-,-,0,220.18,-220,,0,0,0,0,-220,3104,61,0,,,
