GE_NUMBER,GE_DATE,SUPPLIER,INAME,CPARTNO,ACODE,INV_NO,INV_DT,CHL_NO,WO_REF,PRNUM,REMARKS,IQTY_CHL,ICODE,REJ_RW,SRNO,RATE,PONUM,PODATE,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,B MAIN BUS BAR 4 WAY MCCB_CB71608_PL,CB71608_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71608_PL,1,71010447,,11,0,-,08/03/2024,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,B MAIN BUS BAR 4 WAY MCCB_CB71608_PL,CB71608_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71608_PL,13,71010447,,10,0,-,08/03/2024,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,B MAIN BUS BAR 4 WAY MCCB_CB71608_PL,CB71608_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71608_PL,176,71010447,,12,0,-,08/03/2024,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,R MAIN BUS BAR 4 WAY MCCB_CB71560_PL,CB71560_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71560_PL,1,71010445,,16,0,-,08/03/2024,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,R MAIN BUS BAR 4 WAY MCCB_CB71560_PL,CB71560_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71560_PL,190,71010445,,17,0,-,08/03/2024,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,SF-1P FORK COMB 11W BUSBAR_CB71008_PL.,CB71008_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71008_PL,25,71010568,,24,0,-,08/03/2024,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,SF-1P FORK COMB 11W BUSBAR_CB71008_PL.,CB71008_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71008_PL,1697,71010568,,25,0,-,08/03/2024,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,SF-1P FORK COMB 5W BUSBAR_CB71002_PL,CB71002_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71002_PL,20,71010390,,22,0,-,08/03/2024,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,SF-1P FORK COMB 5W BUSBAR_CB71002_PL,CB71002_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71002_PL,212,71010390,,23,0,-,08/03/2024,,
007445,08/03/2024,UNIQUE SURFACE TREATMENT,SF-1P FORK COMB 6W BUSBAR_CB71003_PL,CB71003_PL,06U030,23-24/2319,08/03/2024,-,-,RG,CB71003_PL,11,71010386,,20,0,-,08/03/2024,,
