INAME,CPARTNO,CDRGNO,ICODE,IQTYIN,NAME,STAGE,VCHNUM,VCHDATE,ENT_BY,TYPE,ENT_DT,WOLINK,,
FG-  FD_SIDE HOUSING_ DB72112AGC100X _L750_,DB72112AGC100X,-,90210891,12,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD_DS T/H 2 _  DB72114AXC100X _L750_,DB72114AXC100X,-,90210894,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FE_DS T/H 1 _ DB72103MXC050X _L375_FAB,DB72103MXC050X _L375,-,90211095,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP HOUSING-2 DOUBLE STACK_DB72114AXC105X,DB72114AXC105X,-,90200287,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD_DS T/H 1 _  DB72113AXC255X _L2290_FAB,DB72113AXC255X,-,90211380,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-END COVER_DB75034XOCXXXX,DB75034XOCXXXX,-,90211654,3,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-   FD T/BH 3P4W 3M,DB72111AXC300X,-,90010018,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
PIF_PIH COVER_DB72226PXCXXXX_FAB.,DB72226PXCXXXX,-,90210499,25,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD_DS T/H 1 _  DB72113AXC100X _L750_,DB72113AXC100X,-,90210893,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
VE SH S2 3200A 3P4W(50%N) .65X.85M,DB72506CIGFAJX,-,90214588,1,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_SUPPORT PLATE_DB72007XMCXXXD,DB72007XMCXXXD,-,90200293,1,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP HOUSING 1 (TRIPPLE STACK) VE_DB72616CMCGAGX,DB72616CMCGAGX,-,90200304,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-   HE SH-2 2000A 3P4W .5X.5M,DB72124BGCCACX,-,90010072,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-SIDE HOUSING ASSLY PIF_DB92201POC3001,DB92201POC3001,-,90211767,48,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FE SH 250A 3P4W .65M,DB72102MOC065A,-,90214590,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  TOP HOUSING 3 HE,DB72125BXCCACX,-,90211479,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_SIDE HOUSING 1 TRIPPLE STACK VE_DB72613CMCGAGX,DB72613CMCGAGX,-,90200301,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_SIDE HOUSING FEEDER_DB72112AGC110X,DB72112AGC110X.,-,90200021,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-SUPPORT PLATE_DB72003XOCXXXA,DB72003XOCXXXA,-,90211649,3,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FD_T/B HOUSING_ DB72111AXC120X_ L950 _FAB,DB72111AXC120X,-,90210340,18,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  TOP/BOTTOM HOUSING FLANGE END,DB72101MXC065X,-,90211458,6,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-   HE T/BH 3P4W .5X.5M,DB72121BXCCACX,-,90010052,4,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
DS VE TH-3 3200A 3P4W(50%N) .85X.65M,DB72503CIGJAFX,-,90214584,1,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD_DS T/H 2 _  DB72114AXC140X _L1150_,DB72114AXC140X,-,90210909,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-TOP HOUSING PIF_DB72221PXC200X,DB72221PXC200X,-,90211741,1,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-  FD_DS T/H 1 _  DB72113AXC140X _L1150_,DB72113AXC140X,-,90210908,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG-FD SH 250A 3P4W 1.2M_DB72112AOC120X,DB72112AOC120X,-,90214573,18,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
FG_TOP HOUSING-2 FEEDER DOUBLE STACK_DB72114AXC110X,DB72114AXC110X,-,90200026,2,PDI-FGS,69,000159,11/03/2024,SPT,50,11/03/2024,,,
