INAME,ERP_CODE,IND_NO,BATCH_QTY,PRODN_QTY,BAL_QTY,VCHDATE,WO_NO,CPARTNO,CDRGNO,,
1P FORK COMB 5W BUSBAR_CB71002_FB,73018031,014472,133,133,0,05/03/2024,1093,-,-,,
1P FORK COMB 6W BUSBAR_CB71003_FB,73018032,014473,53,53,0,05/03/2024,1093,-,-,,
1P FORK COMB 7W BUSBAR_CB71004_FB,73018033,014474,575,0,575,05/03/2024,1093,-,-,,
B MAIN BUS BAR 12 WAY MCCB_CB71612_FB,73012632,014536,130,130,0,06/03/2024,1093,CB71612_FB,-,,
B MAIN BUS BAR 12 WAY MCCB_CB71612_FB,73012632,014537,50,50,0,06/03/2024,1093,CB71612_FB,-,,
B MAIN BUS BAR 16 WAY MCCB_CB71613_FB,73012635,014542,20,20,0,06/03/2024,1093,CB71613_FB,-,,
B MAIN BUS BAR 16 WAY MCCB_CB71613_FB,73012635,014543,15,15,0,06/03/2024,1093,CB71613_FB,-,,
B MAIN BUS BAR 16 WAY_CB70672_FB,73012636,014561,10,10,0,06/03/2024,1093,CB70672_FB,-,,
B MAIN BUS BAR 4 WAY MCCB_CB71608_FB,73012638,014518,191,191,0,06/03/2024,1093,CB71608_FB,-,,
B MAIN BUS BAR 4 WAY_CB70668_FB,73012639,014558,185,185,0,06/03/2024,1093,CB70668_FB,-,,
B MAIN BUS BAR 6 WAY MCCB_CB71609_FB,73012641,014523,175,175,0,06/03/2024,1093,CB71609_FB,-,,
B MAIN BUS BAR 6 WAY MCCB_CB71609_FB,73012641,014524,30,30,0,06/03/2024,1093,CB71609_FB,-,,
B MAIN BUS BAR 8 WAY MCCB_CB71610_FB,73012644,014529,220,220,0,06/03/2024,1093,CB71610_FB,-,,
B MAIN BUS BAR 8 WAY MCCB_CB71610_FB,73012644,014530,180,180,0,06/03/2024,1093,CB71610_FB,-,,
BOX CEB SPN 12 WAY DD_CB71735_BENDING/WELDING,73015516,014823,150,150,0,11/03/2024,1093,-,-,,
BOX CEB SPN 12 WAY DD_CB71735_PC_MAIN,74013309,014827,150,150,0,11/03/2024,1093,-,-,,
