CUSTOMER,ITEM_NAME,ICODE,WK_REF,PLAN_QTY,VCHNUM,VCHDATE,ARCH_QTY,ISARCH,ENT_BY,ENT_DT,EDT_BY,EDT_DT,ACODE,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 4WAY (R),90040023,202411,150,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 6WAY (R),90040024,202411,200,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 8WAY (R),90040025,202411,200,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 12WAY (R),90040026,202411,200,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 4WAY (R),90040031,202411,200,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 6WAY (R),90040032,202411,80,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 8WAY (R),90040033,202411,20,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,507810 10A SP P&S DB,90040165,202411,300,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507811 20A SP P&S DB,90040157,202411,4700,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507814 20A DP P&S DB,90040158,202411,1700,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507818 32A TP P&S DB,90040172,202411,500,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507820 20A DP RCBO P&S DB,90040159,202411,450,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507822 32A FP RCBO P&S DB,90040168,202411,170,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507860 EK P17 TEMPRA DB 16A 2P,90040160,202411,2000,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507861 EK P17 TEMPRA DB 32A 3P,90040169,202411,200,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507862 EK P17 TEMPRA DB 32A 3P,90040170,202411,2600,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507863 EK P17 TEMPRA DB 32A 2P,90040161,202411,1500,000053,01/03/2024,0,Y,KAKDE,05/02/2024,KAKDE,15/02/2024,16N008,,
