ITEM_PRODUCED,ICODE,PRODN_QTY,TOTAL_SCRAP_WT,PRODN_VAL,UNIT,MST_RATE,SCRAP_WT,OSTAGE,SC_NAME,,
1P FORK COMB 5W BUSBAR_CB71002_FB,73018031,133,1.86,4364.16,NOS,32.8132,0.014,89020006,COPPER  SCRAP,,
1P FORK COMB 6W BUSBAR_CB71003_FB,73018032,53,1.01,2202.78,NOS,41.5618,0.019,89020006,COPPER  SCRAP,,
B MAIN BUS BAR 12 WAY MCCB_CB71612_FB,73012632,180,0.72,23827.75,NOS,132.3764,0.004,89020006,COPPER  SCRAP,,
B MAIN BUS BAR 16 WAY MCCB_CB71613_FB,73012635,35,0.18,6940.49,NOS,198.2996,0.005,89020006,COPPER  SCRAP,,
B MAIN BUS BAR 16 WAY_CB70672_FB,73012636,10,0.04,1286.87,NOS,128.687,0.004,89020006,COPPER  SCRAP,,
B MAIN BUS BAR 4 WAY MCCB_CB71608_FB,73012638,191,0.38,7371.13,NOS,38.5923,0.002,89020006,COPPER  SCRAP,,
B MAIN BUS BAR 4 WAY_CB70668_FB,73012639,185,0.37,5865.11,NOS,31.7033,0.002,89020006,COPPER  SCRAP,,
B MAIN BUS BAR 6 WAY MCCB_CB71609_FB,73012641,205,0.41,9226.05,NOS,45.0051,0.002,89020006,COPPER  SCRAP,,
B MAIN BUS BAR 8 WAY MCCB_CB71610_FB,73012644,400,1.2,31845.92,NOS,79.6148,0.003,89020006,COPPER  SCRAP,,
BOX CEB SPN 12 WAY DD_CB71735_BENDING/WELDING,73015516,150,0,9335.4,NOS,62.236,0,N,,,
BOX CEB SPN 12 WAY DD_CB71735_PC_MAIN,74013309,150,0,8645.76,NOS,57.6384,0,N,,,
BOX CEB SPN 16 WAY DD_CB71736_FABRICATION,73015519,200,0,11815.2,NOS,59.076,0,N,,,
BOX CEB SPN 16 WAY DD_CB71736_PC,74013289,200,0,13822.36,NOS,69.1118,0,N,,,
BOX POWDER COATED PLUG AND SOCKET 16A _3 PIN (PLASTIC)_CB71361,74013561,150,0,4113.78,NOS,27.4252,0,N,,,
BOX POWDER COATED PLUG AND SOCKET 32A _3 PIN (PLASTIC)_CB70832,74013711,100,0,2990.94,NOS,29.9094,0,N,,,
