DATED,INV_NO,CUSTOMER,ACODE,CODE,PART_NO,PART_NAME,QTY_SOLD,RATE,DISCOUNT,BASIC,GST_RATE,SPECS,PO_REF,REF_FLD,ICGST,SGST,SHE_CESS,ADDL,ENT_BY,TYPE,ENT_DT,TARR_NO,PONUM,PODATE,OLINE,STORE,UNIT,TARRIFNO,ORD_REV,TIN_NO,DESC_,PLNO,PLDT,ICODE,HSCODE,STORE_NO,PKPU,FRTPU,FULL_INVNO,NO_PACKAGES,FCRATE,FCVALUE,,
01/03/2024,032131,SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,16S062,90020071,DBVTL012DD,VTPN 12W DD IP43 125A MCCB I/C - PREMIUM (DBVTL012DD),4,3969.3535,0,15877.41,9,-,1530520506 Dt.11/02/24,,1428.97,1428.97,0,0,DMP,40,01/03/2024 20:56:28,85371000,030444,11/02/2024,-,Y,NOS,85371000,,-,-,-,,90020071,85371000,-,0,0,232403-032131,,0,0,,
01/03/2024,032132,SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,16S062,90200320,DBSPN008DDS,FG_8 WAY SPN DD_DBSPN008DDS,96,675.207,0,64819.87,9,-,1530520936 Dt.14/02/24,,5833.79,5833.79,0,0,DMP,40,01/03/2024 21:03:54,85371000,030452,14/02/2024,-,Y,NOS,-,,-,-,-,,90200320,85389000,-,0,0,232403-032132,,0,0,,
01/03/2024,032132,SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,16S062,90020073,DBVTL016DD,VTPN 16W DD IP43 125A MCCB I/C - PREMIUM,4,5057.0875,0,20228.35,9,-,1530520936 Dt.14/02/24,,1820.55,1820.55,0,0,DMP,40,01/03/2024 21:03:54,85371000,030452,14/02/2024,-,Y,NOS,85371000,,-,-,-,,90020073,85371000,-,0,0,232403-032132,,0,0,,
01/03/2024,032132,SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,16S062,90020107,DBVTH016DD,VTPN 16W DD IP43 250A MCCB I/C - PREMIUM (DBVTH016DD),8,6681.823,0,53454.58,9,-,1530520936 Dt.14/02/24,,4810.91,4810.91,0,0,DMP,40,01/03/2024 21:03:54,85371000,030452,14/02/2024,-,Y,NOS,85371000,,-,-,-,,90020107,85371000,-,0,0,232403-032132,,0,0,,
01/03/2024,032132,SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,16S062,90020116,DBVTH012DD,VTPN 12W DD IP43 250A MCCB I/C - PREMIUM (DBVTH012DD),1,5621.8495,0,5621.85,9,-,1530520936 Dt.14/02/24,,505.97,505.97,0,0,DMP,40,01/03/2024 21:03:54,85371000,030452,14/02/2024,-,Y,NOS,85371000,,-,-,-,,90020116,85371000,-,0,0,232403-032132,,0,0,,
02/03/2024,032133,NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,16N015,90040159,507820,507820 20A DP RCBO P&S DB,24,313.37,0,7520.88,9,-,P692316 Dt.04/02/24,,676.88,676.88,0,0,DMP,40,02/03/2024 13:19:04,85371000,030433,04/02/2024,-,Y,NOS,85371000,,27860792159V,-,-,,90040159,85371000,-,0,0,232403-032133,,0,0,,
02/03/2024,032133,NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,16N015,90040169,507861,507861 EK P17 TEMPRA DB 32A 3P,50,657.52,0,32876,9,-,P692316 Dt.04/02/24,,2958.84,2958.84,0,0,DMP,40,02/03/2024 13:19:04,85371000,030433,04/02/2024,-,Y,NOS,85371000,,27860792159V,-,-,,90040169,85371000,-,0,0,232403-032133,,0,0,,
02/03/2024,032133,NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,16N015,90040171,507864,507864 EK P17 TEMPRA DB 63A 3P,36,2439.56,0,87824.16,9,-,P692316 Dt.04/02/24,,7904.17,7904.17,0,0,DMP,40,02/03/2024 13:19:04,85371000,030433,04/02/2024,-,Y,NOS,85371000,,27860792159V,-,-,,90040171,85381010,-,0,0,232403-032133,,0,0,,
02/03/2024,032133,NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,16N015,90040161,507863,507863 EK P17 TEMPRA DB 32A 2P,270,513.37,0,138609.9,9,-,P692316 Dt.04/02/24,,12474.89,12474.89,0,0,DMP,40,02/03/2024 13:19:04,85371000,030433,04/02/2024,-,Y,NOS,85371000,,27860792159V,-,-,,90040161,85371000,-,0,0,232403-032133,,0,0,,
02/03/2024,032133,NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,16N015,90040170,507862,507862 EK P17 TEMPRA DB 32A 3P,70,748.17,0,52371.9,9,-,P692316 Dt.04/02/24,,4713.47,4713.47,0,0,DMP,40,02/03/2024 13:19:04,85371000,030433,04/02/2024,-,Y,NOS,85371000,,27860792159V,-,-,,90040170,85371000,-,0,0,232403-032133,,0,0,,
02/03/2024,032133,NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,16N015,90040172,507818,507818 32A TP P&S DB,12,522.78,0,6273.36,9,-,P692316 Dt.04/02/24,,564.6,564.6,0,0,DMP,40,02/03/2024 13:19:04,85371000,030433,04/02/2024,-,Y,NOS,85371000,,27860792159V,-,-,,90040172,85371000,-,0,0,232403-032133,,0,0,,
03/03/2024,032134,SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,16S062,90020226,DBPPS563SD,P&S 63A 5PIN 8MOD SD IP30 - PLASTIC,100,3619.2129,0,361921.29,9,-,1530518342 Dt.29/01/24,,32572.92,32572.92,0,0,DMP,40,03/03/2024 19:41:56,85371000,030432,02/02/2024,-,Y,NOS,85371000,,-,-,-,,90020226,85371000,-,0,0,232403-032134,,0,0,,
03/03/2024,032135,SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,16S062,90200320,DBSPN008DDS,FG_8 WAY SPN DD_DBSPN008DDS,882,675.207,0,595532.57,9,-,1530520936 Dt.14/02/24,,53597.93,53597.93,0,0,DMP,40,03/03/2024 19:46:50,85389000,030452,14/02/2024,-,Y,NOS,-,,-,-,-,,90200320,85389000,-,0,0,232403-032135,,0,0,,
04/03/2024,032136,SANIYO ELECTROFAB PRIVATE LIMITED,16S028,90200002,CB70283,HINGE SURFACE,5000,5.83,0,29150,9,-,576 Dt.22/01/24,,2623.5,2623.5,0,0,DMP,40,04/03/2024 11:37:46,85381010,030418,24/01/2024,-,Y,NOS,85381010,,27410715631V,-,-,,90200002,85381010,-,0,0,232403-032136,,0,0,,
04/03/2024,032137,SANIYO ELECTROFAB PRIVATE LIMITED,16S028,90200001,CB70275,FRAME HINGE LOCATOR,5000,2.65,0,13250,9,-,648 Dt.14/02/24,,1192.5,1192.5,0,0,DMP,40,04/03/2024 11:45:09,85381010,030455,16/02/2024,-,Y,NOS,85381010,,27410715631V,-,-,,90200001,85381010,-,0,0,232403-032137,,0,0,,
04/03/2024,032138,EVERGREEN ELECTRICAL PVT LTD,16E005,90200002,CB70283,HINGE SURFACE,2120,5.83,0,12359.6,9,-,EE2-PO/23-24/01635 Dt.27/12/23,,1112.36,1112.36,0,0,DMP,40,04/03/2024 11:48:52,85381010,030366,28/12/2023,-,Y,NOS,85381010,,27801120925V,-,-,,90200002,85381010,-,0,0,232403-032138,,0,0,,
04/03/2024,032139,EVERGREEN ELECTRICAL PVT LTD,16E005,90200002,CB70283,HINGE SURFACE,2000,5.83,0,11660,9,-,EE2-PO/23-24/01767 Dt.18/01/24,,1049.4,1049.4,0,0,DMP,40,04/03/2024 11:51:56,85381010,030454,16/02/2024,-,Y,NOS,85381010,,27801120925V,-,-,,90200002,85381010,-,0,0,232403-032139,,0,0,,
04/03/2024,032140,EVERGREEN ELECTRICAL PVT LTD,16E005,90200002,CB70283,HINGE SURFACE,880,5.83,0,5130.4,9,-,EE2-PO/23-24/01973 Dt.20/02/24,,461.74,461.74,0,0,DMP,40,04/03/2024 11:53:26,85381010,030468,20/02/2024,-,Y,NOS,85381010,,27801120925V,-,-,,90200002,85381010,-,0,0,232403-032140,,0,0,,
