DATED,PROD_NO,ITEM,STAGE,INWARD,OUTWARD,IRATE,INW_VAL,OUT_VAL,STORE,CODE,PART_NO,ENT_BY,ENT_DT,,
03/03/2024,000110,SF-BRASS MODULE BUSBAR 6 WAY TIN PLATTED,-,0,990,0,0,0,Y,73018859,-,SPT,03/03/2024 18:04:27,,
03/03/2024,000110,BRASS MODULE BUSBAR 8 WAY TIN PLATTED,-,30,0,0,0,0,Y,73019986,-,SPT,03/03/2024 18:04:27,,
03/03/2024,000110,SF-BRASS MODULE BUSBAR 4 WAY TIN PLATTED,-,960,0,0,0,0,Y,73018858,-,SPT,03/03/2024 18:04:27,,
06/03/2024,000111,POWDER EPP RAL 7035 FINE TEXTURED_GM,-,63,0,0,0,0,Y,22080014,-,SPT,06/03/2024 12:33:47,,
10/03/2024,000112,TRANSPARENT TAPE - 3 INCH (65 MTR),-,0,1.9,0,0,0,Y,48090046,-,SPT,10/03/2024 15:37:34,,
10/03/2024,000112,BROWN TAPE,-,1.9,0,0,0,0,Y,47140016,-,SPT,10/03/2024 15:37:34,,
11/03/2024,000113,SF-BOX SPN 8 WAY IP43 SFRM_CB70568_FB,-,0,20,0,0,0,Y,73018229,CB70568,SPT,11/03/2024 18:57:04,,
11/03/2024,000113,SF-BOX SPN 16 WAY IP43 SFRM_CB70570_FB,-,0,20,0,0,0,Y,73018233,CB70570,SPT,11/03/2024 18:57:04,,
11/03/2024,000113,SF-BOX SPN 18 WAY IP43 SFRM_CB70571_FB,-,0,10,0,0,0,Y,73018235,CB70571,SPT,11/03/2024 18:57:04,,
11/03/2024,000113,SF-BOX SPN 8 WAY IP54 SFRM_WL,-,20,0,0,0,0,Y,73019989,IP54 SP,SPT,11/03/2024 18:57:04,,
11/03/2024,000113,SF-BOX SPN 12 WAY IP54 SFRM_WL,-,20,0,0,0,0,Y,73019990,IP54 SP,SPT,11/03/2024 18:57:04,,
11/03/2024,000113,SF-BOX SPN 16 WAY IP54 SFRM_WL,-,20,0,0,0,0,Y,73019991,IP54 SP,SPT,11/03/2024 18:57:04,,
11/03/2024,000113,SF-BOX SPN 18 WAY IP54 SFRM_WL,-,10,0,0,0,0,Y,73019992,IP54 SP,SPT,11/03/2024 18:57:04,,
11/03/2024,000114,POLYBAG 6 X 13 X 200 GAUGE,-,25,0,0,0,0,Y,47020051,-,SPT,11/03/2024 19:57:40,,
11/03/2024,000114,POLYBAG 6 X 8 X 200 GAUGE,-,30,0,0,0,0,Y,47020022,-,SPT,11/03/2024 19:57:40,,
12/03/2024,000115,CB70283 HINGE SURFACE,-,0,3700,0,0,0,R,90200002,CB70283,SPT,12/03/2024 10:26:40,,
12/03/2024,000115,CB70283 HINGE SURFACE,-,3700,0,0,0,0,Y,90200002,CB70283,SPT,12/03/2024 10:26:40,,
,,,,,,,,,,,,,,,
