DATED,INV_NO,CUSTOMER,ACODE,CODE,PART_NO,PART_NAME,QTY_SOLD,RATE,DISCOUNT,BASIC,GST_RATE,SPECS,PO_REF,REF_FLD,ICGST,SGST,SHE_CESS,ADDL,ENT_BY,TYPE,ENT_DT,TARR_NO,PONUM,PODATE,OLINE,STORE,UNIT,TARRIFNO,ORD_REV,TIN_NO,DESC_,PLNO,PLDT,ICODE,HSCODE,STORE_NO,PKPU,FRTPU,FULL_INVNO,NO_PACKAGES,FCRATE,FCVALUE,,
01/07/2023,003330,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,97020034,L002372235LBLAA,MANUAL P112 ACTIVE TRACK ASSEMBLY 120MM,80,117.36,0,9388.8,9,-,1001344- Dt.24/05/23,,844.99,844.99,0,0,GVM,40,01/07/2023 10:45:56,94012000,000084,27/05/2023,-,Y,NOS,-,,27550410004-V,-,-,,97020034,94012000,-,0,0,232400-003330,4,0,0,,
01/07/2023,003330,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010204,20040030,SLIDER PASSIVE DR MARSHAL 2000,100,118.38,0,11838,9,-,1001344- Dt.24/05/23,,1065.42,1065.42,0,0,GVM,40,01/07/2023 10:45:56,94012000,000084,27/05/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010204,94012000,-,0,0,232400-003330,3,0,0,,
01/07/2023,003330,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010193,20040516,SLIDER PASSIVE NGS 8STR WITH M8 BOLT,40,118.38,0,4735.2,9,-,1001344- Dt.24/05/23,,426.17,426.17,0,0,GVM,40,01/07/2023 10:45:56,94012000,000084,27/05/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010193,94012000,-,0,0,232400-003330,1,0,0,,
01/07/2023,003330,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010199,2B040516,SLIDER PASSIVE BOLERO FRESH WITH M8 BOLT,42,119.35,0,5012.7,9,-,1001344- Dt.24/05/23,,451.14,451.14,0,0,GVM,40,01/07/2023 10:45:56,94012000,000084,27/05/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010199,94012000,-,0,0,232400-003330,1,0,0,,
01/07/2023,003330,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,97020035,L002372236LBLAA,MANUAL P112 PASSIVE TRACK ASSEMBLY 120MM,80,176.49,0,14119.2,9,-,1001344- Dt.24/05/23,,1270.73,1270.73,0,0,GVM,40,01/07/2023 10:45:56,94012000,000084,27/05/2023,-,Y,NOS,-,,27550410004-V,-,-,,97020035,94012000,-,0,0,232400-003330,2,0,0,,
01/07/2023,003330,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010191,20040515,SLIDER ACTIVE DRIVER NGS 8STR WITH M8 BOLT,40,176.46,0,7058.4,9,-,1001344- Dt.24/05/23,,635.26,635.26,0,0,GVM,40,01/07/2023 10:45:56,94012000,000084,27/05/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010191,94012000,-,0,0,232400-003330,2,0,0,,
01/07/2023,003330,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010203,20040371,SLIDER ASSY ACTIVE SINGLE CAB COMM LOOK,100,175.33,0,17533,9,-,1001344- Dt.24/05/23,,1577.97,1577.97,0,0,GVM,40,01/07/2023 10:45:56,94012000,000084,27/05/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010203,94012000,-,0,0,232400-003330,5,0,0,,
01/07/2023,003331,VIVA ENTERPRISES,06V132,22030001,-,POWDER BLACK SATIN,20,195.55,0,3911,9,-,,,351.99,351.99,0,0,GVM,4B,01/07/2023 11:21:33,,,,,Y,KGS,39079990,,-,-,-,,22030001,72199090,,0,,232400-003331,0,0,0,,
01/07/2023,003332,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010193,20040516,SLIDER PASSIVE NGS 8STR WITH M8 BOLT,40,118.38,0,4735.2,9,-,1001344- Dt.24/05/23,,426.17,426.17,0,0,GVM,40,01/07/2023 12:18:36,94012000,000084,27/05/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010193,94012000,-,0,0,232400-003332,1,0,0,,
01/07/2023,003332,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010191,20040515,SLIDER ACTIVE DRIVER NGS 8STR WITH M8 BOLT,40,176.46,0,7058.4,9,-,1001344- Dt.24/05/23,,635.26,635.26,0,0,GVM,40,01/07/2023 12:18:36,94012000,000084,27/05/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010191,94012000,-,0,0,232400-003332,2,0,0,,
