DATED,INV_NO,CUSTOMER,ACODE,CODE,PART_NO,PART_NAME,QTY_SOLD,RATE,DISCOUNT,BASIC,GST_RATE,SPECS,PO_REF,REF_FLD,ICGST,SGST,SHE_CESS,ADDL,ENT_BY,TYPE,ENT_DT,TARR_NO,PONUM,PODATE,OLINE,STORE,UNIT,TARRIFNO,ORD_REV,TIN_NO,DESC_,PLNO,PLDT,ICODE,HSCODE,STORE_NO,PKPU,FRTPU,FULL_INVNO,NO_PACKAGES,FCRATE,FCVALUE,,
01/10/2023,006484,VIVA ENTERPRISES,06V132,22030001,-,POWDER BLACK SATIN,20,195.55,0,3911,9,-,,,351.99,351.99,0,0,GVM,4B,01/10/2023 10:02:00,,,,,Y,KGS,39079990,,-,-,-,,22030001,72199090,,0,,232400-006484,0,0,0,,
01/10/2023,006484,VIVA ENTERPRISES,06V132,22080004,-,POWDER PENCIL GRAY,20,250,0,5000,9,-,,,450,450,0,0,GVM,4B,01/10/2023 10:02:00,,,,,Y,KGS,39079990,,-,-,-,,22080004,72199090,,0,,232400-006484,0,0,0,,
01/10/2023,006485,LEAR AUTOMOTIVE INDIA PVT.LTD.KHED,16L009,92310277,L001577353NCPAC,CVR- LATCH LH STRUCTURAL,900,73.07,0,65763,9,-,1001252- Dt.14/09/23,,5918.67,5918.67,0,0,GVM,40,01/10/2023 10:59:21,94012000,000316,19/09/2023,-,Y,NOS,-,,2755041004V,-,-,,92310277,94012000,-,0,0,232400-006485,20,0,0,,
01/10/2023,006486,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010166,0K030365,TOWEL BAR 60% SEAT TCS BLACK,10,76.65,0,766.5,9,-,1001344- Dt.04/09/23,,68.98,68.98,0,0,GVM,40,01/10/2023 11:09:32,94012000,000282,04/09/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010166,94012000,-,0,0,232400-006486,,0,0,,
01/10/2023,006487,LEAR AUTOMOTIVE INDIA PVT.LTD.KHED,16L009,92310277,L001577353NCPAC,CVR- LATCH LH STRUCTURAL,900,73.07,0,65763,9,-,1001252- Dt.14/09/23,,5918.67,5918.67,0,0,GVM,40,01/10/2023 11:37:55,94012000,000316,19/09/2023,-,Y,NOS,-,,2755041004V,-,-,,92310277,94012000,-,0,0,232400-006487,20,0,0,,
01/10/2023,006487,LEAR AUTOMOTIVE INDIA PVT.LTD.KHED,16L009,92010237,L001577352NCPAC,LEAR_COVER LATCH RH STRUCTURE SIDE PLATE MIDSIZE-U301,900,73.07,0,65763,9,-,1001252- Dt.14/09/23,,5918.67,5918.67,0,0,GVM,40,01/10/2023 11:37:55,94012000,000316,19/09/2023,-,Y,NOS,94012000,,2755041004V,-,-,,92010237,94012000,-,0,0,232400-006487,20,0,0,,
01/10/2023,006488,LEAR AUTOMOTIVE INDIA PVT LTD-JIT,16L048,92010344,L001760195NCPAD,ASM HANDLE - ADJUSTER TOWEL BAR,175,86.39,0,15118.25,9,-,1001415 Dt.30/08/23,,1360.64,1360.64,0,0,GVM,40,01/10/2023 11:47:06,94012000,000295,08/09/2023,-,Y,NOS,-,,-,-,-,,92010344,94012000,-,0,0,232400-006488,7,0,0,,
01/10/2023,006488,LEAR AUTOMOTIVE INDIA PVT LTD-JIT,16L048,92010343,L001738381NCPAD,HANDLE ADJUSTER TOWEL BAR Z101,400,58.46,0,23384,9,-,1001415 Dt.30/08/23,,2104.56,2104.56,0,0,GVM,40,01/10/2023 11:47:06,94012000,000295,08/09/2023,-,Y,NOS,-,,-,-,-,,92010343,94012000,-,0,0,232400-006488,8,0,0,,
01/10/2023,006488,LEAR AUTOMOTIVE INDIA PVT LTD-JIT,16L048,92010345,L001760194NCPAC,TUBE HANDLE ADJUSTER,150,58.58,0,8787,9,-,1001415 Dt.30/08/23,,790.83,790.83,0,0,GVM,40,01/10/2023 11:47:06,94012000,000295,08/09/2023,-,Y,NOS,-,,-,-,-,,92010345,94012000,-,0,0,232400-006488,3,0,0,,
01/10/2023,006489,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,97020035,L002372236LBLAA,MANUAL P112 PASSIVE TRACK ASSEMBLY 120MM,60,167.05,0,10023,9,-,1001344- Dt.04/09/23,,902.07,902.07,0,0,KRC,40,01/10/2023 12:35:45,94012000,000282,04/09/2023,-,Y,NOS,-,,27550410004-V,-,-,,97020035,94012000,-,0,0,232400-006489,,0,0,,
01/10/2023,006489,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,97020034,L002372235LBLAA,MANUAL P112 ACTIVE TRACK ASSEMBLY 120MM,60,112.41,0,6744.6,9,-,1001344- Dt.04/09/23,,607.01,607.01,0,0,KRC,40,01/10/2023 12:35:45,94012000,000282,04/09/2023,-,Y,NOS,-,,27550410004-V,-,-,,97020034,94012000,-,0,0,232400-006489,,0,0,,
01/10/2023,006490,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010085,2B030278,BOLERO FRESH CO DRIVER MOUNTING,15,356.4,0,5346,9,-,1001344- Dt.04/09/23,,481.14,481.14,0,0,KRC,40,01/10/2023 13:23:54,94012000,000282,04/09/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010085,94012000,-,0,0,232400-006490,,0,0,,
01/10/2023,006491,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,97020035,L002372236LBLAA,MANUAL P112 PASSIVE TRACK ASSEMBLY 120MM,60,167.05,0,10023,9,-,1001344- Dt.04/09/23,,902.07,902.07,0,0,KRC,40,01/10/2023 14:42:30,94012000,000282,04/09/2023,-,Y,NOS,-,,27550410004-V,-,-,,97020035,94012000,-,0,0,232400-006491,,0,0,,
01/10/2023,006491,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010193,20040516,SLIDER PASSIVE NGS 8STR WITH M8 BOLT,100,111.99,0,11199,9,-,1001344- Dt.04/09/23,,1007.91,1007.91,0,0,KRC,40,01/10/2023 14:42:30,94012000,000282,04/09/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010193,94012000,-,0,0,232400-006491,,0,0,,
01/10/2023,006491,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010085,2B030278,BOLERO FRESH CO DRIVER MOUNTING,29,356.4,0,10335.6,9,-,1001344- Dt.04/09/23,,930.2,930.2,0,0,KRC,40,01/10/2023 14:42:30,94012000,000282,04/09/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010085,94012000,-,0,0,232400-006491,,0,0,,
01/10/2023,006491,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010191,20040515,SLIDER ACTIVE DRIVER NGS 8STR WITH M8 BOLT,100,167.02,0,16702,9,-,1001344- Dt.04/09/23,,1503.18,1503.18,0,0,KRC,40,01/10/2023 14:42:30,94012000,000282,04/09/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010191,94012000,-,0,0,232400-006491,,0,0,,
01/10/2023,006491,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,97020034,L002372235LBLAA,MANUAL P112 ACTIVE TRACK ASSEMBLY 120MM,60,112.41,0,6744.6,9,-,1001344- Dt.04/09/23,,607.01,607.01,0,0,KRC,40,01/10/2023 14:42:30,94012000,000282,04/09/2023,-,Y,NOS,-,,27550410004-V,-,-,,97020034,94012000,-,0,0,232400-006491,,0,0,,
01/10/2023,006492,THAKKAR FABRICATOR,06T031,22010002,-,POWDER BLACK GLOSSY,20,236.78,0,4735.6,9,-,,,426.2,426.2,0,0,GVM,4B,01/10/2023 15:20:17,,,,,Y,KGS,39079990,,27220615971V,-,-,,22010002,39073010,,0,,232400-006492,0,0,0,,
