DATED,INV_NO,CUSTOMER,ACODE,CODE,PART_NO,PART_NAME,QTY_SOLD,RATE,DISCOUNT,BASIC,GST_RATE,SPECS,PO_REF,REF_FLD,ICGST,SGST,SHE_CESS,ADDL,ENT_BY,TYPE,ENT_DT,TARR_NO,PONUM,PODATE,OLINE,STORE,UNIT,TARRIFNO,ORD_REV,TIN_NO,DESC_,PLNO,PLDT,ICODE,HSCODE,STORE_NO,PKPU,FRTPU,FULL_INVNO,NO_PACKAGES,FCRATE,FCVALUE,,
01/01/2024,009581,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010203,20040371,SLIDER ASSY ACTIVE SINGLE CAB COMM LOOK,80,165.89,0,13271.2,9,-,1001344 Dt.23/11/23,,1194.41,1194.41,0,0,KAB,40,01/01/2024 09:53:43,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010203,94012000,-,0,0,232400-009581,4,0,0,,
01/01/2024,009581,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010204,20040030,SLIDER PASSIVE DR MARSHAL 2000,80,111.99,0,8959.2,9,-,1001344 Dt.23/11/23,,806.33,806.33,0,0,KAB,40,01/01/2024 09:53:43,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010204,94012000,-,0,0,232400-009581,2,0,0,,
01/01/2024,009582,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,97020034,L002372235LBLAA,MANUAL P112 ACTIVE TRACK ASSEMBLY 120MM,80,112.41,0,8992.8,9,-,1001344 Dt.23/11/23,,809.35,809.35,0,0,KAB,40,01/01/2024 11:04:52,94012000,000456,30/11/2023,-,Y,NOS,-,,27550410004-V,-,-,,97020034,94012000,-,0,0,232400-009582,4,0,0,,
01/01/2024,009582,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,97020035,L002372236LBLAA,MANUAL P112 PASSIVE TRACK ASSEMBLY 120MM,80,167.05,0,13364,9,-,1001344 Dt.23/11/23,,1202.76,1202.76,0,0,KAB,40,01/01/2024 11:04:52,94012000,000456,30/11/2023,-,Y,NOS,-,,27550410004-V,-,-,,97020035,94012000,-,0,0,232400-009582,2,0,0,,
01/01/2024,009583,VIVA ENTERPRISES,06V132,22080004,-,POWDER PENCIL GRAY,20,250,0,5000,9,-,,,450,450,0,0,IHT,4B,01/01/2024 11:20:30,,,,,Y,KGS,39079990,,-,-,-,,22080004,72199090,,0,,232400-009583,2,0,0,,
01/01/2024,009583,VIVA ENTERPRISES,06V132,22030001,-,POWDER BLACK SATIN,20,195.55,0,3911,9,-,,,351.99,351.99,0,0,IHT,4B,01/01/2024 11:20:30,,,,,Y,KGS,39079990,,-,-,-,,22030001,72199090,,0,,232400-009583,2,0,0,,
01/01/2024,009584,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010203,20040371,SLIDER ASSY ACTIVE SINGLE CAB COMM LOOK,80,165.89,0,13271.2,9,-,1001344 Dt.23/11/23,,1194.41,1194.41,0,0,KAB,40,01/01/2024 11:25:54,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010203,94012000,-,0,0,232400-009584,4,0,0,,
01/01/2024,009584,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010204,20040030,SLIDER PASSIVE DR MARSHAL 2000,80,111.99,0,8959.2,9,-,1001344 Dt.23/11/23,,806.33,806.33,0,0,KAB,40,01/01/2024 11:25:54,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010204,94012000,-,0,0,232400-009584,2,0,0,,
01/01/2024,009585,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010008,2K040375,2R  40 BKT ASSY FLOOR MTG BLACK,80,110.28,0,8822.4,9,-,1001344 Dt.23/11/23,,794.02,794.02,0,0,GVM,40,01/01/2024 12:08:45,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010008,94012000,-,0,0,232400-009585,2,0,0,,
01/01/2024,009585,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010020,00040392,2R 6040 IVR LATCH ACT MECH FRT,50,19.59,0,979.5,9,-,1001344 Dt.23/11/23,,88.16,88.16,0,0,GVM,40,01/01/2024 12:08:45,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010020,94012000,-,0,0,232400-009585,1,0,0,,
01/01/2024,009585,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010112,2K040426,LINK TUBE ASSLY 40 BLACK,80,51.69,0,4135.2,9,-,1001344 Dt.23/11/23,,372.17,372.17,0,0,GVM,40,01/01/2024 12:08:45,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010112,94012000,-,0,0,232400-009585,2,0,0,,
01/01/2024,009585,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010005,L0363804AA,1R TOWEL BAR W105,100,38.83,0,3883,9,-,1001344 Dt.23/11/23,,349.47,349.47,0,0,GVM,40,01/01/2024 12:08:45,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010005,94012000,-,0,0,232400-009585,1,0,0,,
01/01/2024,009585,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010165,0K030364,TOWEL BAR 40% SEAT TCS BLACK,40,44.71,0,1788.4,9,-,1001344 Dt.23/11/23,,160.96,160.96,0,0,GVM,40,01/01/2024 12:08:45,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010165,94012000,-,0,0,232400-009585,1,0,0,,
01/01/2024,009586,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010206,20040134,SLIDER ASSY PASSIVE WITH M8 X 50 BOLT MM540/MM550,20,110.47,0,2209.4,9,-,1001344 Dt.23/11/23,,198.85,198.85,0,0,KAB,40,01/01/2024 13:24:01,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010206,94012000,-,0,0,232400-009586,1,0,0,,
01/01/2024,009586,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010205,20040133,SLIDER ASSY ACTIVE WITH M8 X 50 BOLT MM540/MM550,20,164.61,0,3292.2,9,-,1001344 Dt.23/11/23,,296.3,296.3,0,0,KAB,40,01/01/2024 13:24:01,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010205,94012000,-,0,0,232400-009586,2,0,0,,
01/01/2024,009587,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010085,2B030278,BOLERO FRESH CO DRIVER MOUNTING,2,356.4,0,712.8,9,-,1001344 Dt.23/11/23,,64.15,64.15,0,0,KAB,40,01/01/2024 13:53:32,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010085,94012000,-,0,0,232400-009587,,0,0,,
01/01/2024,009587,LEAR AUTOMOTIVE (I) PVT.LTD.-II,16L005,92010087,2B030277,BOLERO FRESH DRIVER MOUNTING,2,302.85,0,605.7,9,-,1001344 Dt.23/11/23,,54.51,54.51,0,0,KAB,40,01/01/2024 13:53:32,94012000,000456,30/11/2023,-,Y,NOS,94012000,,27550410004-V,-,-,,92010087,94012000,-,0,0,232400-009587,,0,0,,
