DATED,PROD_NO,ITEM,STAGE,INWARD,OUTWARD,IRATE,INW_VAL,OUT_VAL,STORE,CODE,PART_NO,ENT_BY,ENT_DT,,
18/03/2024,000355,SF_DR MTL BKT FT LH ZS11_ZINC PLATING Y0142551,-,0,4,0,0,0,R,71010775,Y0142551.,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,SF_DR MTL BKT FR RH ZS11 _ZINC PLATING Y0142555,-,0,7,0,0,0,R,71010776,Y0142555.,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,PLATED - M02020536 - DIRT SHIELD CAP,-,0,10,0,0,0,R,71010772,M02020536,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,SF-YRA FRONT UPPER SPRING SEAT_M02040627_PLATING,-,0,34,0,0,0,R,71010760,-,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,SF-RETAINER REAR_M02100373_ZINC PLATING,-,0,5,0,0,0,R,71010758,-,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,PLATED - M0171W478 - BUMPER CAP REAR ASSY_PLATTED,-,0,2,0,0,0,R,71030016,M0171W478,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,CRCA  DESIGN SCRAP,-,15,0,0,0,0,Y,89030001,-,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,CRCA  DESIGN SCRAP,-,14,0,0,0,0,Y,89030001,-,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,SS DESIGN SCRAP,-,1,0,0,0,0,Y,89120001,-,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,SF_REINF DASH LOWER MMBR L 63122-68P00,-,0,9,0,0,0,R,72015575,-,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,SF-68620-55T00 SASH COMP REAR DOOR FRONT RH,-,0,2,0,0,0,R,72015897,SF-68620-55T00,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,UPPER SPRING SEAT_02040917_PLATING,-,0,19,0,0,0,R,71010741,M02040917,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,SF_REINF DASH LOWER MMBR L 63122-68P00,-,0,17,0,0,0,R,72015575,-,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,SF_PLATE STRUT BEARING_M02100430_ZINC PLATING,-,0,87,0,0,0,R,71010769,M02100430 PLATING,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,PLATED - M02020536 - DIRT SHIELD CAP,-,0,21,0,0,0,R,71010772,M02020536,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,UPPER SPRING SEAT_02040917_PLATING,-,0,14,0,0,0,R,71010741,M02040917,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,SF-RETAINER REAR_M02100373_ZINC PLATING,-,0,12,0,0,0,R,71010758,-,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,WASHER LOWER REAR_M02100405_ZINC PLATING,-,0,2,0,0,0,R,71010759,-,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,SF-YRA FRONT UPPER SPRING SEAT_M02040627_PLATING,-,0,9,0,0,0,R,71010760,-,USER1,19/03/2024 16:18:33,,
16/03/2024,000354,SF_82564293_STOPPER RING_BLANKING ( SCRAP FROM BAFFEL ),-,0,5,0,0,0,R,72014014,-,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,SF_PLATE STRUT BEARING_M02100430_ZINC PLATING,-,0,2,0,0,0,R,71010769,M02100430 PLATING,USER1,19/03/2024 16:18:33,,
18/03/2024,000355,PLATED - M02010047 - LOWER WASHER,-,0,26,0,0,0,R,71010773,M02010047,USER1,19/03/2024 16:18:33,,
12/03/2024,000352,CRCA  DESIGN SCRAP,-,24,0,0,0,0,Y,89030001,-,USER1,17/03/2024 15:57:59,,
